FH,FR,MH,MR,CG,NU,Distance,TallerParent,CH
185.42,0.0,162.56,0.0,1.0,0,22.859999999999985,-1.0,157.48
167.64,1.0,172.72,0.0,1.0,1,5.0800000000000125,1.0,170.18
182.88,1.0,162.56,0.0,1.0,0,20.319999999999993,-1.0,165.1
154.94,4.0,165.1,4.0,1.0,0,10.159999999999997,1.0,170.18
170.18,0.0,172.72,0.0,0.0,0,2.539999999999992,1.0,170.18
193.04,0.0,165.1,0.0,1.0,0,27.939999999999998,-1.0,172.72
175.26,0.0,165.1,0.0,0.0,0,10.159999999999997,-1.0,185.42
180.34,2.0,157.48,3.0,0.0,1,22.860000000000014,-1.0,186.0
193.04,1.0,165.1,1.0,0.0,0,27.939999999999998,-1.0,190.5
193.04,1.0,165.1,1.0,0.0,0,27.939999999999998,-1.0,187.96
208.28,1.0,172.72,1.0,0.0,0,35.56,-1.0,198.12
193.04,1.0,182.88,1.0,0.0,0,10.159999999999997,-1.0,190.5
193.04,1.0,182.88,1.0,0.0,0,10.159999999999997,-1.0,198.12
193.04,1.0,182.88,1.0,0.0,0,10.159999999999997,-1.0,182.88
205.74,1.0,167.64,1.0,0.0,0,38.10000000000002,-1.0,190.5
215.9,1.0,170.18,1.0,0.0,0,45.72,-1.0,205.74
167.64,1.0,170.18,1.0,0.0,0,2.5400000000000205,1.0,175.26
213.36,1.0,167.64,1.0,0.0,0,45.72000000000003,-1.0,203.2
198.12,1.0,185.42,0.0,0.0,0,12.700000000000017,-1.0,198.12
198.12,1.0,185.42,0.0,0.0,0,12.700000000000017,-1.0,203.2
198.12,1.0,185.42,0.0,0.0,0,12.700000000000017,-1.0,195.579
175.26,1.0,165.1,1.0,0.0,0,10.159999999999997,-1.0,198.12
172.72,1.0,170.18,1.0,0.0,0,2.539999999999992,-1.0,190.5
172.72,1.0,175.26,1.0,0.0,0,2.539999999999992,1.0,215.9
167.64,1.0,157.48,1.0,0.0,0,10.159999999999997,-1.0,208.28
193.04,0.0,177.8,0.0,0.0,0,15.23999999999998,-1.0,200.66
177.8,0.0,154.94,0.0,0.0,0,22.860000000000014,-1.0,185.42
162.56,0.0,168.91,0.0,0.0,0,6.349999999999994,1.0,177.8
166.37,1.0,157.48,1.0,0.0,0,8.890000000000015,-1.0,177.8
185.42,0.0,152.4,0.0,0.0,0,33.01999999999998,-1.0,167.64
185.42,0.0,162.56,0.0,0.0,0,22.859999999999985,-1.0,177.8
172.72,0.0,162.56,0.0,0.0,0,10.159999999999997,-1.0,185.42
180.34,0.0,167.64,0.0,0.0,0,12.700000000000017,-1.0,175.26
182.88,0.0,173.99,0.0,1.0,0,8.889999999999986,-1.0,162.56
172.72,0.0,157.48,2.0,1.0,0,15.240000000000009,-1.0,154.94
175.26,3.0,160.02,0.0,1.0,0,15.23999999999998,-1.0,157.48
187.96,0.0,172.72,0.0,1.0,0,15.240000000000009,-1.0,177.8
185.42,0.0,157.48,0.0,1.0,0,27.939999999999998,-1.0,175.26
190.5,2.0,162.56,2.0,0.0,0,27.939999999999998,-1.0,187.96
180.34,0.0,170.18,0.0,0.0,0,10.159999999999997,-1.0,182.88
175.26,1.0,170.18,1.0,0.0,0,5.079999999999984,-1.0,180.34
167.64,2.0,165.1,2.0,0.0,0,2.539999999999992,-1.0,172.72
173.99,0.0,167.64,0.0,0.0,0,6.350000000000023,-1.0,185.42
182.88,0.0,165.1,0.0,0.0,0,17.78,-1.0,182.88
177.8,0.0,167.64,0.0,0.0,0,10.160000000000025,-1.0,177.8
183.0,3.0,163.0,3.0,0.0,0,20.0,-1.0,168.0
183.0,3.0,163.0,3.0,0.0,0,20.0,-1.0,170.0
170.0,0.0,163.0,0.0,1.0,0,7.0,-1.0,153.0
168.0,3.0,165.0,3.0,1.0,0,3.0,-1.0,150.0
168.0,3.0,165.0,3.0,1.0,0,3.0,-1.0,156.0
180.0,1.0,160.0,1.0,1.0,0,20.0,-1.0,165.0
180.0,1.0,160.0,1.0,1.0,0,20.0,-1.0,142.0
180.0,1.0,160.0,1.0,0.0,0,20.0,-1.0,170.0
168.0,3.0,173.0,3.0,0.0,0,5.0,1.0,183.0
168.0,3.0,173.0,3.0,1.0,0,5.0,1.0,165.0
168.0,3.0,173.0,3.0,1.0,0,5.0,1.0,163.0
168.0,3.0,173.0,3.0,1.0,0,5.0,1.0,167.0
168.0,3.0,173.0,3.0,1.0,0,5.0,1.0,165.0
183.0,1.0,178.0,1.0,0.0,0,5.0,-1.0,180.0
183.0,1.0,178.0,1.0,0.0,0,5.0,-1.0,187.0
183.0,1.0,178.0,1.0,0.0,0,5.0,-1.0,190.0
170.0,3.0,155.0,3.0,0.0,0,15.0,-1.0,170.0
170.0,3.0,155.0,3.0,0.0,0,15.0,-1.0,168.0
170.0,3.0,155.0,3.0,1.0,0,15.0,-1.0,157.0
170.0,3.0,155.0,3.0,1.0,0,15.0,-1.0,160.0
170.0,3.0,155.0,3.0,1.0,0,15.0,-1.0,160.0
185.42,0.0,152.4,0.0,0.0,0,33.01999999999998,-1.0,182.88
177.8,0.0,162.56,0.0,0.0,0,15.240000000000009,-1.0,185.42
170.18,0.0,147.32,0.0,0.0,0,22.860000000000014,-1.0,160.02
175.26,0.0,172.72,0.0,1.0,0,2.539999999999992,-1.0,162.56
175.26,0.0,162.56,0.0,0.0,0,12.699999999999989,-1.0,177.8
167.64,4.0,160.02,4.0,0.0,0,7.619999999999976,-1.0,167.64
175.26,4.0,144.78,4.0,1.0,0,30.47999999999999,-1.0,149.86
180.34,0.0,147.32,0.0,1.0,0,33.02000000000001,-1.0,152.4
185.42,0.0,162.56,0.0,1.0,0,22.859999999999985,-1.0,167.64
172.72,0.0,167.64,0.0,0.0,0,5.0800000000000125,-1.0,185.42
