FH,FR,MH,MR,CH,CG,NU
183.0,3.0,163.0,3.0,170.0,0.0,0
170.0,0.0,163.0,0.0,153.0,1.0,0
172.0,0.0,172.0,0.0,172.0,0.0,0
168.0,3.0,165.0,3.0,150.0,1.0,0
168.0,3.0,165.0,3.0,156.0,1.0,0
180.0,1.0,160.0,1.0,165.0,1.0,0
180.0,1.0,160.0,1.0,142.0,1.0,0
180.0,1.0,160.0,1.0,170.0,0.0,0
168.0,3.0,173.0,3.0,183.0,0.0,0
168.0,3.0,173.0,3.0,165.0,1.0,0
168.0,3.0,173.0,3.0,163.0,1.0,0
168.0,3.0,173.0,3.0,167.0,1.0,0
168.0,3.0,173.0,3.0,165.0,1.0,0
183.0,1.0,178.0,1.0,180.0,0.0,0
183.0,1.0,178.0,1.0,187.0,0.0,0
183.0,1.0,178.0,1.0,190.0,0.0,0
170.0,3.0,155.0,3.0,170.0,0.0,0
170.0,3.0,155.0,3.0,168.0,0.0,0
170.0,3.0,155.0,3.0,157.0,1.0,0
170.0,3.0,155.0,3.0,160.0,1.0,0
170.0,3.0,155.0,3.0,160.0,1.0,0
185.42,0.0,152.4,0.0,182.88,0.0,0
177.8,0.0,162.56,0.0,185.42,0.0,0
170.18,0.0,147.32,0.0,160.02,0.0,0
175.26,0.0,172.72,0.0,162.56,1.0,0
175.26,0.0,162.56,0.0,177.8,0.0,0
167.64,4.0,160.02,4.0,167.64,0.0,0
175.26,4.0,144.78,4.0,149.86,1.0,0
180.34,0.0,147.32,0.0,152.4,1.0,0
185.42,0.0,162.56,0.0,167.64,1.0,0
172.72,0.0,167.64,0.0,185.42,0.0,0
165.1,0.0,170.18,0.0,147.32,1.0,0
180.34,0.0,180.34,0.0,190.5,1.0,0
182.88,0.0,162.56,0.0,165.1,1.0,0
177.8,0.0,160.02,0.0,167.64,1.0,0
175.26,0.0,162.56,0.0,167.64,0.0,0
172.72,1.0,177.8,1.0,182.88,0.0,0
187.96,1.0,167.64,1.0,170.18,1.0,0
185.42,1.0,175.26,1.0,182.88,0.0,0
177.8,0.0,167.64,0.0,172.72,0.0,0
170.18,1.0,162.56,1.0,165.1,0.0,0
182.42,0.0,162.56,0.0,162.56,,0
160.02,1.0,187.96,1.0,190.5,0.0,0
170.18,1.0,165.1,1.0,182.88,0.0,0
195.58,1.0,175.26,1.0,180.34,0.0,0
165.1,1.0,167.64,1.0,170.18,0.0,0
165.1,0.0,182.88,0.0,180.34,0.0,0
172.72,1.0,172.72,1.0,165.1,0.0,0
193.04,1.0,180.34,1.0,175.26,,0
177.8,0.0,152.4,0.0,170.18,1.0,0
187.96,0.0,160.02,0.0,198.12,,0
190.5,0.0,162.56,0.0,170.18,1.0,0
175.26,4.0,167.64,4.0,167.64,1.0,0
170.18,1.0,167.64,1.0,172.72,0.0,0
182.42,1.0,165.1,1.0,185.42,0.0,0
162.56,3.0,162.56,0.0,157.48,1.0,0
182.88,0.0,157.48,0.0,154.94,1.0,0
182.88,1.0,165.1,,157.48,1.0,0
182.88,1.0,162.56,1.0,162.56,1.0,0
188.0,0.0,173.0,0.0,178.0,1.0,0
188.0,1.0,150.0,1.0,170.0,1.0,0
175.0,1.0,178.0,0.0,178.0,1.0,0
175.0,1.0,183.0,1.0,165.0,1.0,0
178.0,0.0,170.0,1.0,183.0,0.0,0
185.0,0.0,152.0,0.0,168.0,1.0,0
165.0,3.0,157.0,3.0,165.0,1.0,1
178.0,1.0,152.0,1.0,163.0,1.0,0
170.0,1.0,157.0,1.0,163.0,1.0,1
173.0,1.0,152.0,1.0,183.0,0.0,0
175.0,1.0,150.0,1.0,163.0,1.0,0
183.0,1.0,168.0,1.0,175.0,1.0,0
163.0,3.0,170.0,1.0,165.0,1.0,0
175.0,1.0,173.0,1.0,178.0,1.0,0
165.0,1.0,163.0,1.0,150.0,1.0,1
185.0,1.0,170.0,1.0,175.0,1.0,0
178.0,1.0,170.0,1.0,183.0,1.0,0
170.0,1.0,165.0,1.0,175.0,0.0,0
167.0,0.0,167.0,0.0,162.0,1.0,0
167.0,0.0,167.0,0.0,177.0,0.0,0
185.0,0.0,165.0,0.0,167.0,1.0,0
165.0,0.0,150.0,0.0,157.0,1.0,0
165.0,0.0,150.0,0.0,150.0,1.0,0
165.0,0.0,150.0,0.0,155.0,1.0,0
160.0,0.0,160.0,0.0,157.0,1.0,0
160.0,0.0,160.0,0.0,167.0,1.0,0
160.0,0.0,160.0,0.0,177.0,0.0,0
165.0,3.0,155.0,3.0,157.0,1.0,0
165.0,3.0,155.0,3.0,172.0,0.0,0
175.0,0.0,168.0,0.0,170.0,1.0,0
175.0,0.0,168.0,0.0,172.0,1.0,0
175.0,0.0,168.0,0.0,171.0,1.0,0
175.0,0.0,168.0,0.0,180.0,0.0,0
170.0,0.0,177.0,0.0,177.0,1.0,0
170.0,0.0,177.0,0.0,167.0,1.0,0
170.0,0.0,177.0,0.0,188.0,0.0,0
183.0,0.0,165.0,0.0,165.0,1.0,0
183.0,0.0,165.0,0.0,183.0,0.0,0
179.0,3.0,156.0,3.0,186.0,0.0,0
172.0,3.0,162.0,3.0,164.0,1.0,1
172.0,3.0,162.0,3.0,159.0,1.0,1
172.0,3.0,162.0,3.0,170.0,0.0,1
174.0,3.0,163.0,3.0,179.0,0.0,1
174.0,3.0,163.0,3.0,162.0,1.0,0
174.0,3.0,163.0,3.0,164.0,1.0,0
174.0,3.0,168.0,3.0,183.0,0.0,0
174.0,3.0,168.0,3.0,178.0,1.0,0
178.0,3.0,162.0,3.0,168.0,1.0,0
178.0,3.0,162.0,3.0,168.0,1.0,0
159.0,3.0,167.0,3.0,152.0,1.0,0
159.0,3.0,167.0,3.0,158.0,1.0,0
171.0,3.0,160.0,3.0,161.0,1.0,0
171.0,3.0,160.0,3.0,158.0,1.0,0
176.0,3.0,168.0,3.0,183.0,0.0,0
162.0,3.0,155.0,3.0,165.0,1.0,0
162.0,3.0,155.0,3.0,170.0,0.0,0
173.0,3.0,165.0,3.0,182.0,0.0,0
173.0,3.0,165.0,3.0,170.0,1.0,0
278.0,3.0,155.0,3.0,173.0,0.0,0
171.0,3.0,167.0,3.0,178.0,0.0,0
171.0,3.0,167.0,3.0,171.0,0.0,0
170.0,3.0,156.0,3.0,177.0,0.0,0
173.0,3.0,160.0,3.0,165.0,1.0,0
176.0,3.0,164.0,3.0,183.0,0.0,0
