FH,FR,MH,MR,CH,CG,NU
165.1,B,167.64,B,170.18,M,No
165.1,W,182.88,W,180.34,M,No
172.72,B,172.72,B,165.1,M,No
193.04,B,180.34,B,175.26,NB,No
177.8,W,152.4,W,170.18,F,No
187.96,W,160.02,W,198.12,NB,No
190.5,W,162.56,W,170.18,F,No
175.26,H,167.64,H,167.64,F,No
170.18,B,167.64,B,172.72,M,No
182.42,B,165.1,B,185.42,M,No
162.56,A,162.56,W,157.48,F,No
182.88,W,157.48,W,154.94,F,No
182.88,B,165.1,,157.48,F,No
182.88,B,162.56,B,162.56,F,No
188,W,173,W,178,F,No
188,B,150,B,170,F,No
175,B,178,W,178,F,No
175,B,183,B,165,F,No
178,W,170,B,183,M,No
185,W,152,W,168,F,No
165,A,157,A,165,F,YES
178,B,152,B,163,F,No
170,B,157,B,163,F,YES
173,B,152,B,183,M,No
175,B,150,B,163,F,No
183,B,168,B,175,F,No
.,.,173,B,178,F,No
163,A,170,B,165,F,No
.,.,170,B,175,F,No
175,B,173,B,178,F,No
165,B,163,B,150,F,YES
185,B,170,B,175,F,No
178,B,170,B,183,F,No
170,B,165,B,175,M,No
167,W,167,W,162,F,No
167,W,167,W,177,M,No
185,W,165,W,167,F,No
165,W,150,W,157,F,No
165,W,150,W,150,F,No
165,W,150,W,155,F,No
160,W,160,W,157,F,No
160,W,160,W,167,F,No
160,W,160,W,177,M,No
165,A,155,A,157,F,No
165,A,155,A,172,M,No
175,W,168,W,170,F,No
175,W,168,W,172,F,No
175,W,168,W,171,F,No
175,W,168,W,180,M,No
170,W,177,W,177,F,No
170,W,177,W,167,F,No
170,W,177,W,188,M,No
183,W,165,W,165,F,No
183,W,165,W,183,M,No
179,A,156,A,186,M,No
172,A,162,A,164,F,YES
172,A,162,A,159,F,YES
172,A,162,A,170,M,YES
174,A,163,A,179,M,YES
174,A,163,A,162,F,No
174,A,163,A,164,F,No
174,A,168,A,183,M,No
174,A,168,A,178,F,No
178,A,162,A,168,F,No
178,A,162,A,168,F,No
159,A,167,A,152,F,No
159,A,167,A,158,F,No
171,A,160,A,161,F,No
171,A,160,A,158,F,No
176,A,168,A,183,M,No
162,A,155,A,165,F,No
162,A,155,A,170,M,No
173,A,165,A,182,M,No
173,A,165,A,170,F,No
278,A,155,A,173,M,No
171,A,167,A,178,M,No
171,A,167,A,171,M,No
170,A,156,A,177,M,No
173,A,160,A,165,F,No
176,A,164,A,183,M,No
175,A,168,A,180,M,No
170,A,159,A,162.5,F,No
170,A,159,A,165,F,No
172,A,158,A,168,F,No
172,A,158,A,175,M,No
172,A,158,A,176.5,M,No
165.5,A,162.5,A,170,F,No
172,A,161,A,172,M,No
166,A,160,A,179,M,No
170,A,165,A,162.5,F,No
183,A,169,A,185,M,No
169,A,161,A,176,M,No
180,A,156,A,164,F,No
174,A,164,A,164,F,No
170,A,165,A,160,F,No
169,A,159,A,170,M,No
176,A,170,A,177,F,No
176,A,170,A,170,F,No
179,A,156,A,186.0,M,No
182.88,W,175.26,W,192.0,M,No
180,SA,160,SA,180.0,M,No
187.96,W,165.1,W,182.9,M,No
198.12,W,177.8,W,188.0,M,No
175.26,A,162.56,W,182.9,M,No
165.1,SA,160.02,SA,175.3,M,No
185.42,SA,172.72,SA,182.9,M,No
182.88,W,160.02,W,172.7,M,No
167.64,W,165.1,W,154.94,F,No
182.88,W,160.02,W,167.64,M,No
172.72,W,165.1,W,175.26,M,No
175.26,W,162.56,W,180.34,M,No
172.72,W,167.64,W,182.88,M,No
175.26,W,175.26,W,167.64,M,No
155,B,155,B,155,F,No
155,B,155,B,149,F,No
157,B,157,B,157,F,No
186,B,186,B,186,M,No
186,B,186,B,157,F,No
186,B,186,B,160,F,No
186,B,186,B,170,F,No
180,B,180,B,180,M,No
167,B,167,B,167,F,No
