FH,FR,MH,MR,CG,NU,FH_x_Squared,FR_x_Squared,MH_x_Squared,MR_x_Squared,CG_x_Squared,NU_x_Squared,Distance,TallerParent,Distance_Squared,TallerParent_Squared,CH
193.0,0.0,162.6,0.0,1.0,0,37249.0,0.0,26438.76,0.0,1.0,0,30.400000000000006,-1.0,924.1600000000003,1.0,162.6
177.8,0.0,165.1,0.0,1.0,0,31612.840000000004,0.0,27258.01,0.0,1.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,167.6
182.9,0.0,162.6,0.0,1.0,0,33452.41,0.0,26438.76,0.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,162.6
180.3,0.0,162.6,0.0,0.0,0,32508.090000000004,0.0,26438.76,0.0,0.0,0,17.700000000000017,-1.0,313.2900000000006,1.0,170.2
188.0,0.0,165.1,0.0,1.0,0,35344.0,0.0,27258.01,0.0,1.0,0,22.900000000000006,-1.0,524.4100000000003,1.0,165.1
182.9,0.0,170.2,0.0,1.0,0,33452.41,0.0,28968.039999999997,0.0,1.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,165.1
185.4,1.0,160.0,0.0,0.0,0,34373.16,1.0,25600.0,0.0,0.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,179.0
177.8,0.0,168.9,0.0,1.0,0,31612.840000000004,0.0,28527.210000000003,0.0,1.0,0,8.900000000000006,-1.0,79.21000000000011,1.0,168.9
182.9,0.0,175.3,0.0,0.0,0,33452.41,0.0,30730.090000000004,0.0,0.0,0,7.599999999999994,-1.0,57.75999999999991,1.0,177.8
165.0,3.0,156.0,3.0,0.0,0,27225.0,9.0,24336.0,9.0,0.0,0,9.0,-1.0,81.0,1.0,171.0
188.0,0.0,160.0,0.0,0.0,0,35344.0,0.0,25600.0,0.0,0.0,0,28.0,-1.0,784.0,1.0,188.0
170.2,0.0,177.8,0.0,1.0,0,28968.039999999997,0.0,31612.840000000004,0.0,1.0,0,7.600000000000023,1.0,57.760000000000346,1.0,177.8
188.0,0.0,154.9,0.0,1.0,0,35344.0,0.0,23994.010000000002,0.0,1.0,0,33.099999999999994,-1.0,1095.6099999999997,1.0,160.0
188.0,0.0,180.3,0.0,1.0,0,35344.0,0.0,32508.090000000004,0.0,1.0,0,7.699999999999989,-1.0,59.28999999999982,1.0,172.7
185.4,0.0,149.9,0.0,1.0,0,34373.16,0.0,22470.010000000002,0.0,1.0,0,35.5,-1.0,1260.25,1.0,165.1
170.0,0.0,170.0,0.0,0.0,0,28900.0,0.0,28900.0,0.0,0.0,0,0.0,,0.0,,178.0
